name,author,description,old_price,new_price,topic,age,language
方方兔與圓圓種子,王姵勻,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,270,216,藝術與人文,7-9歲,正體中文
其實不孤單,何祐瑩,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,114,91,社會,10-12歲,正體中文
卡里國和得梯國,江家伶,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,436,348,環境教育,7-9歲,正體中文
背包小男孩─賀比,陳冠霖,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,441,352,綜合活動,7-9歲,正體中文
別破壞我們的家,廖利珠,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,298,238,環境教育,7-9歲,正體中文
髒兮兮的小綿羊,劉持恩,這是一本關於健康生活和運動鍛煉的書籍，通過介紹健康知識和運動技巧，幫助讀者保持身心健康、提高運動能力。這本書將引導讀者建立健康的生活方式，享受運動的樂趣。,353,282,健康與體育,7-9歲,正體中文
一起來過聖誕節,黃珮嘉,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,132,105,綜合活動,7-9歲,正體中文
美美的壞習慣,賴韋儒,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,250,200,家政教育,13-15歲,正體中文
默默擔心的事,林容嘉,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,479,383,社會,7-9歲,正體中文
不愛刷牙的東東,施宛怡,這是一本關於健康生活和運動鍛煉的書籍，通過介紹健康知識和運動技巧，幫助讀者保持身心健康、提高運動能力。這本書將引導讀者建立健康的生活方式，享受運動的樂趣。,236,188,健康與體育,7-9歲,正體中文
吃肥皂的貓,李岳諴,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,264,211,家政教育,7-9歲,正體中文
不一樣的小多,白家欣,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,453,362,綜合活動,7-9歲,正體中文
巫婆要結婚,孫亦葳,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,251,200,家政教育,7-9歲,正體中文
製雲機,陳祉蓉,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,415,332,環境教育,7-9歲,正體中文
合作分工,游雅筑,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,339,271,生活,7-9歲,正體中文
吼！我不要吃飯！,江家伶,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,466,372,家政教育,7-9歲,正體中文
逼啵星球爆炸了,劉雨庭,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,285,228,生活,7-9歲,正體中文
科克的時光之旅,廖唯翔,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,388,310,環境教育,7-9歲,正體中文
丹蛋丹蛋,江旻柔,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,452,361,綜合活動,7-9歲,正體中文
回家,李明璇,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,397,317,家政教育,7-9歲,正體中文
菲菲飛飛飛,柯慧旻,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,342,273,綜合活動,7-9歲,正體中文
西北雨派對,江濰荻,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,133,106,環境教育,7-9歲,正體中文
彩虹不見了,沈記如,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,176,140,環境教育,7-9歲,正體中文
誰才是寶貝,蕭伃秀,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,264,211,家政教育,7-9歲,正體中文
光米,吳羽柔,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,185,148,綜合活動,7-9歲,正體中文
小哈利與多尼的約定,楊雨昕,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,250,200,生活,7-9歲,正體中文
森林的守護神,施俞如,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,201,160,環境教育,10-12歲,正體中文
追求夢想,楊美恩,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,106,84,生涯發展教育,10-12歲,正體中文
回家囉！小妖怪,朱家慶,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,417,333,綜合活動,7-9歲,正體中文
等你的小角落,賴映妤,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,255,204,家政教育,10-12歲,正體中文
天空破洞了,郭芷含,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,132,105,環境教育,7-9歲,正體中文
安安與山上的蝴蝶,鄭普心,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,176,140,家政教育,10-12歲,正體中文
你願意改變嗎,張宇彤,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,442,353,綜合活動,7-9歲,正體中文
不吃蔬菜的兔子,胡乃云,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,499,399,家政教育,7-9歲,正體中文
我好醜，但我喜歡自己,王映璇,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,335,268,綜合活動,7-9歲,正體中文
咦──怎麼有個舊皮箱？,吳孟儒,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,162,129,生涯發展教育,10-12歲,正體中文
我討厭妹妹,陳筱蓁,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,437,349,家政教育,7-9歲,正體中文
邦尼的神奇花粉,江楷緣,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,460,368,生活,7-9歲,正體中文
彩虹在哪裡,許芳瑄,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,311,248,藝術與人文,7-9歲,正體中文
衣櫃裡的毛毛怪,施俞如,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,171,136,藝術與人文,7-9歲,正體中文
追夢,許允蓎,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,136,108,生涯發展教育,13-15歲,正體中文
我的寶貝-澎皮,楊欣蓉,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,458,366,綜合活動,13-15歲,正體中文
因為有你,楊雅筑,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,213,170,綜合活動,13-15歲,正體中文
Moon Story,陳子晴,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,378,302,生涯發展教育,13-15歲,正體中文
Bow蝴蝶結百科,石采薇,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,422,337,社會,13-15歲,正體中文
傑克的耶誕之旅,吳思葶,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,105,84,綜合活動,13-15歲,正體中文
我的小烏龜,陳可軒,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,452,361,綜合活動,13-15歲,正體中文
平凡先生,楊琪鈺,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,134,107,綜合活動,13-15歲,正體中文
巫婆不可以自私,李明萱,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,161,128,綜合活動,13-15歲,正體中文
星之道,侯沂昀,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,121,96,生涯發展教育,13-15歲,正體中文
外公，您過的好嗎？,邱珮筠,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,358,286,家政教育,13-15歲,正體中文
古里與妖怪,黃瑜悅,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,225,180,藝術與人文,7-9歲,正體中文
特別的一塊錢,鍾泳禛,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,114,91,社會,7-9歲,正體中文
我與愛幻想同學的妄想回憶,馬于蘋,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,398,318,綜合活動,13-15歲,正體中文
安安奇遇記,陳芊聿,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,152,121,綜合活動,13-15歲,正體中文
給春天的一封信,陳奕安,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,215,172,綜合活動,13-15歲,正體中文
蜂蜜蛋糕的奇幻之旅,黃稚評,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,387,309,藝術與人文,7-9歲,正體中文
QQ與拿鐵,林柔辰,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,293,234,綜合活動,13-15歲,正體中文
心愛的小熊,何香林,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,387,309,綜合活動,13-15歲,正體中文
浪費時間的小米,林宜萱,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,142,113,綜合活動,13-15歲,正體中文
小豆漿,賴侑辰,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,101,80,綜合活動,13-15歲,正體中文
乖乖，今天好嗎？,洪郁晴,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,147,117,生活,7-9歲,正體中文
凱文與理歐的購物記,黎芝羽,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,469,375,家政教育,13-15歲,正體中文
惠惠,連慧婕,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,321,256,綜合活動,13-15歲,正體中文
小獅子的一天,陳冠宇,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,461,368,綜合活動,13-15歲,正體中文
彎彎開轟趴,姚知序,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,483,386,家政教育,7-9歲,正體中文
Mama Said,王歆婷,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,354,283,英文,13-15歲,英文
Foolishness,賴昱淞,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,113,90,英文,13-15歲,英文
Friendship = Friend+Ship?,陳宥余,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,421,336,英文,13-15歲,英文
Holan Soup,呂佳殷,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,444,355,英文,13-15歲,英文
The Potatoes,王郁雯,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,313,250,英文,13-15歲,英文
Aaron and Allen,陳芊慧,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,390,312,英文,13-15歲,英文
Happiness,許量貽,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,242,193,英文,13-15歲,英文
When You Feel Down,洪若慈,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,182,145,英文,13-15歲,英文
The Cheap Burger,楊子佳,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,408,326,英文,13-15歲,英文
Where,李芷齊,這是一本教導讀者英語語言和文化的書籍，通過精彩的故事和有趣的活動，幫助讀者提高英語水平，拓寬國際視野。這本書將讓讀者在學習中感受到樂趣和成就。,460,368,英文,13-15歲,英文
